"time","date","value","household"
"00:00","2012-06-27",0.0120443683333333,"04"
"00:10","2012-06-27",0.0118584475,"04"
"00:20","2012-06-27",0.0116401886111111,"04"
"00:30","2012-06-27",0.0116084622222222,"04"
"00:40","2012-06-27",0.0118804330555556,"04"
"00:50","2012-06-27",0.0118538116666667,"04"
"01:00","2012-06-27",0.0118549152777778,"04"
"01:10","2012-06-27",0.0118923094444444,"04"
"01:20","2012-06-27",0.0115608733333333,"04"
"01:30","2012-06-27",0.0120514513888889,"04"
"01:40","2012-06-27",0.0118663691666667,"04"
"01:50","2012-06-27",0.0123124041666667,"04"
"02:00","2012-06-27",0.0120661188888889,"04"
"02:10","2012-06-27",0.0123088636111111,"04"
"02:20","2012-06-27",0.0159378802777778,"04"
"02:30","2012-06-27",0.0189627486111111,"04"
"02:40","2012-06-27",0.020107365,"04"
"02:50","2012-06-27",0.0162440775,"04"
"03:00","2012-06-27",0.0122280605555556,"04"
"03:10","2012-06-27",0.0114943783333333,"04"
"03:20","2012-06-27",0.0117820833333333,"04"
"03:30","2012-06-27",0.0118504619444444,"04"
"03:40","2012-06-27",0.0125401066666667,"04"
"03:50","2012-06-27",0.0130789405555556,"04"
"04:00","2012-06-27",0.0118313383333333,"04"
"04:10","2012-06-27",0.0116637319444444,"04"
"04:20","2012-06-27",0.0116648819444444,"04"
"04:30","2012-06-27",0.0154094422222222,"04"
"04:40","2012-06-27",0.0110793302777778,"04"
"04:50","2012-06-27",0.008388415,"04"
"05:00","2012-06-27",0.00978846083333333,"04"
"05:10","2012-06-27",0.0129500491666667,"04"
"05:20","2012-06-27",0.00893016694444444,"04"
"05:30","2012-06-27",0.00833386555555556,"04"
"05:40","2012-06-27",0.00833908027777778,"04"
"05:50","2012-06-27",0.00834237305555556,"04"
"06:00","2012-06-27",0.00827665444444444,"04"
"06:10","2012-06-27",0.00824531722222222,"04"
"06:20","2012-06-27",0.0438177277777778,"04"
"06:30","2012-06-27",0.0619639708333333,"04"
"06:40","2012-06-27",0.0137760402777778,"04"
"06:50","2012-06-27",0.0138713013888889,"04"
"07:00","2012-06-27",0.0138718697222222,"04"
"07:10","2012-06-27",0.0156884986111111,"04"
"07:20","2012-06-27",0.0191848486111111,"04"
"07:30","2012-06-27",0.0155048477777778,"04"
"07:40","2012-06-27",0.020432915,"04"
"07:50","2012-06-27",0.0242741244444444,"04"
"08:00","2012-06-27",0.111555471944444,"04"
"08:10","2012-06-27",0.277207746666667,"04"
"08:20","2012-06-27",0.156324943888889,"04"
"08:30","2012-06-27",0.0241316238888889,"04"
"08:40","2012-06-27",0.0239277738888889,"04"
"08:50","2012-06-27",0.0238090555555556,"04"
"09:00","2012-06-27",0.0239415386111111,"04"
